source	target	id	type	time	retweet_count	reply_count	like_count	quote_count	platform
gvegayon	UUtah	1527405796736217090	mentioned	2022-05-19 21:48:14+00:00	1	0	7	0	Twitter Web App
gvegayon	twvalente	1527405796736217090	mentioned	2022-05-19 21:48:14+00:00	1	0	7	0	Twitter Web App
_jgyou	netsci2022	1519002982158852098	mentioned	2022-04-26 17:18:27+00:00	26	0	71	2	Twitter Web App
dse_msu	IC2S2	1518792519558987776	mentioned	2022-04-26 03:22:09+00:00	0	0	10	0	Twitter Web App
daconjam	daconjam	1518458028261089283	quoted	2022-04-25 05:13:00+00:00	0	0	0	0	Twitter for iPhone
daconjam	lhaochen	1518458028261089283	quoted	2022-04-25 05:13:00+00:00	0	0	0	0	Twitter for iPhone
daconjam	tangjiliang	1518458028261089283	quoted	2022-04-25 05:13:00+00:00	0	0	0	0	Twitter for iPhone
Physacourses	lhaochen	1518451083969978369	mentioned	2022-04-25 04:45:24+00:00	0	0	2	1	Twitter Web App
Physacourses	tangjiliang	1518451083969978369	mentioned	2022-04-25 04:45:24+00:00	0	0	2	1	Twitter Web App
barabasi	Gfalbery	1517457062220992513	mentioned	2022-04-22 10:55:31+00:00	8	0	9	1	Twitter Web App
BarabasiLab	BarabasiLab	1514969564769050634	mentioned	2022-04-15 14:11:05+00:00	1	0	5	0	Twitter Web App
BarabasiLab	Boston	1514969564769050634	mentioned	2022-04-15 14:11:05+00:00	1	0	5	0	Twitter Web App
SMLabTO	peter_weibel	1514257465847779334	mentioned	2022-04-13 15:01:28+00:00	1	0	3	0	Hootsuite Inc.
bod0ng	zkmkarlsruhe	1513532492912996354	mentioned	2022-04-11 15:00:41+00:00	3	2	6	0	Hootsuite Inc.
MencheLab	zkmkarlsruhe	1513170001196457986	mentioned	2022-04-10 15:00:16+00:00	2	0	6	0	Hootsuite Inc.
csspenn	Communalytic	1511746530885124097	mentioned	2022-04-06 16:43:54+00:00	4	0	0	0	TweetDeck
cosnet_bifi	LT_UMN	1507397148668796978	replied_to	2022-03-25 16:41:00+00:00	0	1	4	0	TweetDeck
cosnet_bifi	XinranZ1	1507397148668796978	replied_to	2022-03-25 16:41:00+00:00	0	1	4	0	TweetDeck
cosnet_bifi	shui_hong	1507397148668796978	replied_to	2022-03-25 16:41:00+00:00	0	1	4	0	TweetDeck
NatureComms	IC2S2	1498679310034608145	mentioned	2022-03-01 15:19:26+00:00	0	0	1	0	Twitter Web App
artistJaneAdams	arikan	1487902362236821504	mentioned	2022-01-30 21:35:41+00:00	22	2	98	3	Twitter Web App
manlius84	Communalytic	1486851634428661764	mentioned	2022-01-28 00:00:28+00:00	2	1	2	0	TweetDeck
milan_janosov	netscisociety	1485994591979544583	mentioned	2022-01-25 15:14:53+00:00	33	2	71	2	Twitter Web App
Iza_Romanowska	philipvollet	1478441036439379968	mentioned	2022-01-04 18:59:45+00:00	12	0	31	0	TweetDeck
PhMai	sn_ethz	1473682007775498245	mentioned	2021-12-22 15:49:04+00:00	2	0	39	1	Twitter Web App
PhMai	UZH_en	1473682007775498245	mentioned	2021-12-22 15:49:04+00:00	2	0	39	1	Twitter Web App
PhMai	UChicago	1473682007775498245	mentioned	2021-12-22 15:49:04+00:00	2	0	39	1	Twitter Web App
NetfrixP	izebuphamalai	1456661473682501632	mentioned	2021-11-05 16:35:33+00:00	2	1	2	1	TweetDeck
NetfrixP	MencheLab	1456661473682501632	mentioned	2021-11-05 16:35:33+00:00	2	1	2	1	TweetDeck
NetfrixP	Lab_Nagy	1456661473682501632	mentioned	2021-11-05 16:35:33+00:00	2	1	2	1	TweetDeck
NetfrixP	CeMM_News	1456661473682501632	mentioned	2021-11-05 16:35:33+00:00	2	1	2	1	TweetDeck
NetfrixP	MaxPerutzLabs	1456661473682501632	mentioned	2021-11-05 16:35:33+00:00	2	1	2	1	TweetDeck
NetfrixP	WWTF	1456661473682501632	mentioned	2021-11-05 16:35:33+00:00	2	1	2	1	TweetDeck
RutgersCommInfo	masonporter	1455955054066733064	mentioned	2021-11-03 17:48:29+00:00	7	0	16	0	Twitter Web App
