source	target	id	type	time	retweet_count	reply_count	like_count	quote_count	platform
sorkwlsdldi	lshlj	1531625414715551744	replied_to	2022-05-31 13:15:29+00:00	0	0	3	0	Twitter Web App
b78_5	lshlj	1531581549808074753	replied_to	2022-05-31 10:21:11+00:00	0	1	0	0	Twitter Web App
Main_SeEun	lshlj	1531566260601102336	replied_to	2022-05-31 09:20:26+00:00	0	1	0	0	Twitter Web App
addpage1	lshlj	1531562464998879233	replied_to	2022-05-31 09:05:21+00:00	0	0	1	0	Twitter for Android
sioum	lshlj	1531548926930997249	replied_to	2022-05-31 08:11:33+00:00	0	0	0	0	Twitter Web App
wsjung	lshlj	1531548664531161089	replied_to	2022-05-31 08:10:31+00:00	1	1	1	0	Twitter Web App
KudoKun_	lshlj	1531546355004755968	replied_to	2022-05-31 08:01:20+00:00	1	1	1	0	Twitter Web App
socph	lshlj	1531514700420517894	replied_to	2022-05-31 05:55:33+00:00	0	1	3	0	Twitter for iPad
loltech1	lshlj	1531231433846816768	replied_to	2022-05-30 11:09:57+00:00	0	0	1	0	Twitter for iPhone
JongraeK	lshlj	1531190137509449729	replied_to	2022-05-30 08:25:51+00:00	31	0	19	1	Tweetbot for iΟS
swoh_816	lshlj	1531189868671696896	replied_to	2022-05-30 08:24:47+00:00	40	1	27	0	Tweetbot for iΟS
1_lastchance	JongraeK	1531164173312282624	quoted	2022-05-30 06:42:41+00:00	1	0	0	0	Twitter Web App
1_lastchance	lshlj	1531164173312282624	quoted	2022-05-30 06:42:41+00:00	1	0	0	0	Twitter Web App
podsjw	lshlj	1531103367123988480	replied_to	2022-05-30 02:41:03+00:00	1	0	1	0	Twitter Web App
JisunAn	lshlj	1531087218080894976	replied_to	2022-05-30 01:36:53+00:00	0	0	1	0	Twitter Web App
gaeaearth_sehan	lshlj	1531074221035532288	replied_to	2022-05-30 00:45:14+00:00	0	1	1	0	Twitter Web App
babswithoutdick	lshlj	1530869815866707969	replied_to	2022-05-29 11:13:00+00:00	0	1	1	0	Twitter for iPhone
U1connection	lshlj	1530853562900570112	replied_to	2022-05-29 10:08:25+00:00	0	0	0	0	Twitter for iPhone
words_life	lshlj	1530821551704223749	replied_to	2022-05-29 08:01:13+00:00	0	1	1	0	Twitter for Android
ntrolls	lshlj	1530730247192076289	quoted	2022-05-29 01:58:25+00:00	0	0	1	0	Twitter for Android
m1rae	lshlj	1530536000698875904	replied_to	2022-05-28 13:06:33+00:00	0	1	1	0	Twitter for Android
haewoon	lshlj	1530459150987120641	replied_to	2022-05-28 08:01:10+00:00	0	1	1	0	Twitter for Android
yyahn	lshlj	1530198222588678144	replied_to	2022-05-27 14:44:20+00:00	0	1	1	0	Twitter Web App
shhong	lshlj	1530158121221361664	replied_to	2022-05-27 12:04:59+00:00	0	0	1	0	Twitter for iPhone
nomorephysics	lshlj	1530144251333459970	replied_to	2022-05-27 11:09:52+00:00	0	0	1	0	Twitter for iPhone
JR_Jaram	lshlj	1530144244400553984	replied_to	2022-05-27 11:09:51+00:00	0	0	1	0	Twitter for Android
inboklee	lshlj	1530136595256721408	replied_to	2022-05-27 10:39:27+00:00	0	1	0	0	Twitter Web App
d_ijk_stra	lshlj	1530007792685584384	replied_to	2022-05-27 02:07:38+00:00	0	1	1	0	Twitter for iPhone
Azazel_kr	lshlj	1529939708134014978	replied_to	2022-05-26 21:37:05+00:00	0	1	1	0	Twitter for iPhone
gguro	lshlj	1529821902197256194	replied_to	2022-05-26 13:48:58+00:00	0	1	1	0	Twitter for Android
hondjqk2irufhwi	lshlj	1529819086091259905	replied_to	2022-05-26 13:37:47+00:00	0	1	1	0	Twitter Web App
AstralDexter	lshlj	1529818662567305216	replied_to	2022-05-26 13:36:06+00:00	0	0	1	0	Twitter Web App
hyunbinseo97	lshlj	1529817316263096321	replied_to	2022-05-26 13:30:45+00:00	0	1	1	0	Twitter Web App
seohyeseon	lshlj	1529721307390423042	replied_to	2022-05-26 07:09:15+00:00	1	0	1	0	Twitter Web App
MHa4CU	lshlj	1529706633563357184	replied_to	2022-05-26 06:10:56+00:00	0	0	0	0	Twitter Web App
picapicafe	lshlj	1529705836507197440	replied_to	2022-05-26 06:07:46+00:00	0	1	0	0	Twitter Web App
picapicafe	JR_Jaram	1529705836507197440	replied_to	2022-05-26 06:07:46+00:00	0	1	0	0	Twitter Web App
PeanutAir	lshlj	1529705226714095616	replied_to	2022-05-26 06:05:21+00:00	2	0	1	0	Twitter Web App
charsyam	lshlj	1529476123415150592	replied_to	2022-05-25 14:54:58+00:00	0	0	1	0	Twitter for iPhone
chiw00k	lshlj	1529357851017486336	replied_to	2022-05-25 07:05:00+00:00	0	1	1	0	Twitter Web App
mazycat	lshlj	1529101416673214466	replied_to	2022-05-24 14:06:01+00:00	0	0	1	0	Twitter for iPhone
H_H_H_H_H_H_H_7	lshlj	1529100865826656256	replied_to	2022-05-24 14:03:50+00:00	1	1	2	0	Twitter for iPhone
aprioripriority	lshlj	1529027743077109760	replied_to	2022-05-24 09:13:16+00:00	1	0	1	0	Twitter Web App
wud_sq	lshlj	1529008778649432064	replied_to	2022-05-24 07:57:55+00:00	0	0	1	0	Twitter Web App
wud_sq	ntrolls	1529008778649432064	replied_to	2022-05-24 07:57:55+00:00	0	0	1	0	Twitter Web App
hahaman5	lshlj	1528980627495985152	replied_to	2022-05-24 06:06:03+00:00	0	1	0	0	Twitter Web App
gaeaearth_sehan	lshlj	1524035169010790400	replied_to	2022-05-10 14:34:34+00:00	0	0	0	0	Twitter for Android
wsjung	lshlj	1524013334991110149	replied_to	2022-05-10 13:07:48+00:00	0	0	1	0	Twitter for iPhone
tw_transworld	lshlj	1523880709223444482	replied_to	2022-05-10 04:20:48+00:00	0	0	1	0	Twitter Web App
SecretLabMS	lshlj	1523837832128700417	replied_to	2022-05-10 01:30:25+00:00	1	0	5	0	Twitter Web App
Talhae_Cs	lshlj	1523817074878861312	replied_to	2022-05-10 00:07:56+00:00	4	0	1	0	Twitter for iPhone
ntrolls	lshlj	1523580271085617153	replied_to	2022-05-09 08:26:58+00:00	0	0	1	0	Twitter for Mac
hahaman5	lshlj	1522842979131867136	replied_to	2022-05-07 07:37:13+00:00	0	0	1	0	Twitter Web App
teamj231	lshlj	1522837910659215361	replied_to	2022-05-07 07:17:05+00:00	0	0	0	0	Twitter for Android
MHa4CU	lshlj	1522499008173797377	replied_to	2022-05-06 08:50:24+00:00	0	0	0	0	Twitter for iPhone
H_H_H_H_H_H_H_7	lshlj	1521664194772357122	replied_to	2022-05-04 01:33:09+00:00	0	0	1	0	Twitter for Android
taekie	lshlj	1521554703783702528	replied_to	2022-05-03 18:18:05+00:00	0	0	1	0	Twitter for Android
inboklee	lshlj	1521486585165926401	quoted	2022-05-03 13:47:24+00:00	1	1	3	0	Twitter Web App
nomorephysics	lshlj	1521475273803190272	replied_to	2022-05-03 13:02:27+00:00	0	0	2	0	Twitter Web App
gguro	lshlj	1521345658187575296	replied_to	2022-05-03 04:27:24+00:00	0	0	1	0	Twitter for iPhone
_Akamig	lshlj	1521146893480636416	replied_to	2022-05-02 15:17:35+00:00	1	1	3	0	Twitter for Android
blindfish_	lshlj	1521063120621293568	replied_to	2022-05-02 09:44:42+00:00	0	0	0	0	Twitter Web App
TV95336133	lshlj	1521059461162364928	replied_to	2022-05-02 09:30:10+00:00	0	1	1	0	Twitter Web App
mrchypark_	lshlj	1521018585145122820	replied_to	2022-05-02 06:47:44+00:00	0	0	1	0	Twitter Web App
yeon_lang	lshlj	1520412889571479557	replied_to	2022-04-30 14:40:55+00:00	0	0	0	0	Twitter Web App
totheno1	lshlj	1520412822840086533	replied_to	2022-04-30 14:40:39+00:00	0	1	1	0	Twitter Web App
addpage1	lshlj	1520411033503895553	replied_to	2022-04-30 14:33:32+00:00	1	0	0	0	Twitter Web App
Main_SeEun	lshlj	1519986215466024960	replied_to	2022-04-29 10:25:28+00:00	1	0	0	1	Twitter for Android
dygksqkgm	lshlj	1519961425350840320	replied_to	2022-04-29 08:46:57+00:00	0	0	0	0	Twitter Web App
twirebox	lshlj	1519680183238008833	replied_to	2022-04-28 14:09:24+00:00	0	0	0	0	Twitter for iPhone
