Unnamed: 0	source	target	id	type	time	retweet_count	reply_count	like_count	quote_count	platform	year	number_years
19	IC2S2	IC2S2	1498679310034608145	mentioned	2022-03-01 15:19:26+00:00	0	0	1	0	Twitter Web App	2022.0	8.0
100	ricgallotti	sgonzalezbailon	1430904180365922304	mentioned	2021-08-26 14:45:16+00:00	0	0	1	0	Hootsuite Inc.	2021.0	6.0
103	ricgallotti	Ognyanova	1430904180365922304	mentioned	2021-08-26 14:45:16+00:00	0	0	1	0	Hootsuite Inc.	2021.0	6.0
155	bansallab	barabasi	1428356158423592970	mentioned	2021-08-19 14:00:20+00:00	2	0	7	0	Hootsuite Inc.	2021.0	7.0
189	elaragon	IC2S2	1421392207131594755	mentioned	2021-07-31 08:48:05+00:00	8	2	25	0	Twitter Web App	2021.0	8.0
207	juniperlov	barabasi	1420730863613091845	mentioned	2021-07-29 13:00:08+00:00	2	0	9	0	Hootsuite Inc.	2021.0	5.0
232	vcolizza	IC2S2	1420307728979869700	mentioned	2021-07-28 08:58:45+00:00	2	2	15	0	Twitter Web App	2021.0	5.0
237	OSoMe_IU	IC2S2	1420287993089253379	mentioned	2021-07-28 07:40:19+00:00	3	1	9	0	Twitter Web App	2021.0	8.0
265	dinacmistry	IC2S2	1417772121313484803	mentioned	2021-07-21 09:03:09+00:00	10	0	21	0	Twitter Web App	2021.0	5.0
328	PiratePeel	barabasi	1409859419081424896	mentioned	2021-06-29 13:00:54+00:00	0	0	2	0	Hootsuite Inc.	2021.0	8.0
371	yy	barabasi	1405873595902054405	mentioned	2021-06-18 13:02:39+00:00	0	0	2	0	Hootsuite Inc.	2021.0	11.0
383	GuidoCaldarelli	barabasi	1402974090068205571	mentioned	2021-06-10 13:01:03+00:00	1	0	7	0	Hootsuite Inc.	2021.0	8.0
390	Shugars	barabasi	1402249451092295686	mentioned	2021-06-08 13:01:36+00:00	0	0	2	0	Hootsuite Inc.	2021.0	6.0
400	lordgrilo	barabasi	1400799952033533964	mentioned	2021-06-04 13:01:48+00:00	2	0	3	0	Hootsuite Inc.	2021.0	8.0
424	martikagv	barabasi	1397538291558359040	mentioned	2021-05-26 13:01:08+00:00	1	0	7	0	Hootsuite Inc.	2021.0	6.0
471	tinaeliassi	GuidoCaldarelli	1344395753146507264	mentioned	2020-12-30 21:31:39+00:00	2	0	4	0	Twitter Web App	2020.0	6.0
480	estebanmoro	barabasi	1326468425733070848	replied_to	2020-11-11 10:14:51+00:00	0	0	3	0	Twitter Web App	2020.0	9.0
484	estebanmoro	alexvespi	1326468425733070848	replied_to	2020-11-11 10:14:51+00:00	0	0	3	0	Twitter Web App	2020.0	9.0
485	estebanmoro	alexvespi	1326468425733070848	replied_to	2020-11-11 10:14:51+00:00	0	0	3	0	Twitter Web App	2020.0	9.0
527	joshua_a_becker	branmorrighan	1309151068690042880	mentioned	2020-09-24 15:21:52+00:00	3	0	2	0	Twitter Web App	2020.0	6.0
528	joshua_a_becker	OSoMe_IU	1309151068690042880	mentioned	2020-09-24 15:21:52+00:00	3	0	2	0	Twitter Web App	2020.0	6.0
529	joshua_a_becker	yy	1309151068690042880	mentioned	2020-09-24 15:21:52+00:00	3	0	2	0	Twitter Web App	2020.0	6.0
618	schichmax	alexvespi	1238816051506413569	mentioned	2020-03-14 13:15:37+00:00	3	0	11	0	Twitter Web Client	2020.0	6.0
625	lajello	IC2S2	1228384293518315520	mentioned	2020-02-14 18:23:32+00:00	3	0	12	0	Twitter Web App	2020.0	8.0
641	manlius84	OSoMe_IU	1227267491535163392	mentioned	2020-02-11 16:25:46+00:00	10	0	37	4	Twitter Web App	2020.0	8.0
642	manlius84	IC2S2	1227267491535163392	mentioned	2020-02-11 16:25:46+00:00	10	0	37	4	Twitter Web App	2020.0	8.0
645	aliceschwarze	a_baronca	1226951035723214848	mentioned	2020-02-10 19:28:17+00:00	6	0	23	1	Twitter Web App	2020.0	5.0
652	barabasi	IC2S2	1225461494084784136	replied_to	2020-02-06 16:49:22+00:00	0	1	6	0	Twitter Web App	2020.0	7.0
718	danielequercia	cosnet_bifi	1178697635424808960	mentioned	2019-09-30 15:46:30+00:00	6	0	14	0	Twitter Web App	2019.0	9.0
806	feedkoko	IC2S2	1152837546046631936	mentioned	2019-07-21 07:07:44+00:00	1	0	10	0	Twitter for Android	2019.0	5.0
819	mrfrank5790	IC2S2	1152593661282181120	mentioned	2019-07-20 14:58:37+00:00	1	0	17	0	Twitter for iPhone	2019.0	7.0
830	PiratePeel	cesifoti	1152589225822478336	mentioned	2019-07-20 14:41:00+00:00	0	0	3	0	Twitter for Android	2019.0	8.0
840	wrahool	cesifoti	1152583444725153794	mentioned	2019-07-20 14:18:01+00:00	3	1	9	1	Twitter for Android	2019.0	5.0
890	sgonzalezbailon	ricgallotti	1152527335222108160	replied_to	2019-07-20 10:35:04+00:00	1	0	9	0	Twitter for Android	2019.0	6.0
892	sgonzalezbailon	IC2S2	1152527335222108160	replied_to	2019-07-20 10:35:04+00:00	1	0	9	0	Twitter for Android	2019.0	6.0
988	LHDnets	juniperlov	1136716464466079744	mentioned	2019-06-06 19:28:18+00:00	10	3	54	1	TweetDeck	2019.0	5.0
989	LHDnets	LHDnets	1136716464466079744	mentioned	2019-06-06 19:28:18+00:00	10	3	54	1	TweetDeck	2019.0	5.0
991	MassimoSt	dinacmistry	1136594106501779456	replied_to	2019-06-06 11:22:06+00:00	0	3	3	0	Twitter Web Client	2019.0	8.0
994	Ognyanova	peterdodds	1136552687108071425	mentioned	2019-06-06 08:37:31+00:00	9	0	13	0	Twitter Web Client	2019.0	9.0
996	Ognyanova	sfiscience	1136552687108071425	mentioned	2019-06-06 08:37:31+00:00	9	0	13	0	Twitter Web Client	2019.0	9.0
998	_jgyou	dinacmistry	1136435483997814785	replied_to	2019-06-06 00:51:47+00:00	0	1	3	0	Twitter Web App	2019.0	8.0
999	yy	juniperlov	1136243728753004545	replied_to	2019-06-05 12:09:49+00:00	0	0	4	0	Twitter Web Client	2019.0	11.0
1004	hyejin_youn	_jgyou	1136063347235966976	replied_to	2019-06-05 00:13:03+00:00	1	2	9	0	Twitter Web Client	2019.0	6.0
1044	svscarpino	LHDnets	1134915011837616128	replied_to	2019-06-01 20:09:59+00:00	2	1	7	0	Twitter Web Client	2019.0	6.0
1045	svscarpino	juniperlov	1134915011837616128	replied_to	2019-06-01 20:09:59+00:00	2	1	7	0	Twitter Web Client	2019.0	6.0
1050	net_science	peterdodds	1134856051243855872	replied_to	2019-06-01 16:15:41+00:00	0	0	9	0	Twitter Web Client	2019.0	8.0
1052	net_science	all_are	1134856051243855872	replied_to	2019-06-01 16:15:41+00:00	0	0	9	0	Twitter Web Client	2019.0	8.0
1053	net_science	LHDnets	1134856051243855872	replied_to	2019-06-01 16:15:41+00:00	0	0	9	0	Twitter Web Client	2019.0	8.0
1070	all_are	juniperlov	1134586706538225665	mentioned	2019-05-31 22:25:25+00:00	1	1	13	0	Twitter for Android	2019.0	6.0
1071	all_are	LHDnets	1134586706538225665	mentioned	2019-05-31 22:25:25+00:00	1	1	13	0	Twitter for Android	2019.0	6.0
1079	fede7j	lewis_math	1134572385158553606	mentioned	2019-05-31 21:28:30+00:00	2	1	20	0	Hootsuite Inc.	2019.0	7.0
1095	ChrisDanforth	juniperlov	1134559238704062464	mentioned	2019-05-31 20:36:16+00:00	0	0	9	0	Twitter Web Client	2019.0	9.0
1096	ChrisDanforth	LHDnets	1134559238704062464	mentioned	2019-05-31 20:36:16+00:00	0	0	9	0	Twitter Web Client	2019.0	9.0
1160	manlius84	tinaeliassi	1134535721820311553	mentioned	2019-05-31 19:02:49+00:00	6	0	11	0	Twitter for iPhone	2019.0	8.0
1161	manlius84	onurvarol	1134535721820311553	mentioned	2019-05-31 19:02:49+00:00	6	0	11	0	Twitter for iPhone	2019.0	8.0
1172	jkbren	juniperlov	1134520493577572353	replied_to	2019-05-31 18:02:18+00:00	2	0	13	0	TweetDeck	2019.0	7.0
1173	jkbren	LHDnets	1134520493577572353	replied_to	2019-05-31 18:02:18+00:00	2	0	13	0	TweetDeck	2019.0	7.0
1194	AlicePatania	fede7j	1134489857697488902	mentioned	2019-05-31 16:00:34+00:00	3	0	10	0	Twitter for iPhone	2019.0	5.0
1195	PiratePeel	DanLarremore	1133477449310887939	quoted	2019-05-28 20:57:37+00:00	0	1	11	0	Twitter Web Client	2019.0	8.0
1196	PiratePeel	DanLarremore	1133477449310887939	quoted	2019-05-28 20:57:37+00:00	0	1	11	0	Twitter Web Client	2019.0	8.0
1202	net_science	vcolizza	1133472543489314817	mentioned	2019-05-28 20:38:07+00:00	0	0	5	0	Twitter for iPhone	2019.0	8.0
1208	all_are	vcolizza	1133466346971385856	mentioned	2019-05-28 20:13:30+00:00	1	0	7	0	Twitter for iPhone	2019.0	6.0
1223	svscarpino	vcolizza	1133456257816387584	mentioned	2019-05-28 19:33:25+00:00	1	0	0	0	Twitter for Android	2019.0	6.0
